"","Parroquia","Municipio","urban_increase_annual","Area","w","urban_increase_cum","urban_increase_proportion","urban_increase_cum_w","urban_increase_annual_w","Year"
"1","Agua SaLada","Heres",1.41053318609213,85.5212426043848,0.000336143907108542,1.41053318609213,0.0164933663629884,0.000474142136279269,0.000474142136279269,1993
"2","Agua SaLada","Heres",1.31649287109109,85.5212426043848,0.000336143907108542,1.31649287109109,0.0153937528384742,0.000442531057369102,0.000442531057369102,1994
"3","Agua SaLada","Heres",0.752329530911383,85.5212426043848,0.000336143907108542,0.752329530911383,0.00879699017461201,0.000252890987953689,0.000252890987953689,1995
"4","Agua SaLada","Heres",0.188072905100572,85.5212426043848,0.000336143907108542,0.188072905100572,0.00219913672174507,6.32195611417604e-05,6.32195611417604e-05,1996
"5","Agua SaLada","Heres",0.18808383293178,85.5212426043848,0.000336143907108542,0.18808383293178,0.00219926450088947,6.32232344656389e-05,6.32232344656389e-05,1997
"6","Agua SaLada","Heres",0.188072253926768,85.5212426043848,0.000336143907108542,0.188072253926768,0.00219912910756895,6.32193422536537e-05,6.32193422536537e-05,1998
"7","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,1999
"8","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2000
"9","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2001
"10","Agua SaLada","Heres",0.282100965979009,85.5212426043848,0.000336143907108542,0.282100965979009,0.00329860695878787,9.48265209032781e-05,9.48265209032781e-05,2002
"11","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2003
"12","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2004
"13","Agua SaLada","Heres",0.188072260516678,85.5212426043848,0.000336143907108542,0.188072260516678,0.00219912918462477,6.32193444688118e-05,6.32193444688118e-05,2005
"14","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2006
"15","Agua SaLada","Heres",0.188067742278937,85.5212426043848,0.000336143907108542,0.188067742278937,0.00219907635286504,6.32178256907243e-05,6.32178256907243e-05,2007
"16","Agua SaLada","Heres",0.0940325817520062,85.5212426043848,0.000336143907108542,0.0940325817520062,0.00109952309962326,3.16084794256228e-05,3.16084794256228e-05,2008
"17","Agua SaLada","Heres",0.094036452550286,85.5212426043848,0.000336143907108542,0.094036452550286,0.00109956836087254,3.16097805708802e-05,3.16097805708802e-05,2009
"18","Agua SaLada","Heres",0.0940319358501558,85.5212426043848,0.000336143907108542,0.0940319358501558,0.00109951554709209,3.16082623096512e-05,3.16082623096512e-05,2010
"19","Agua SaLada","Heres",0.188069032764671,85.5212426043848,0.000336143907108542,0.188069032764671,0.00219909144251639,6.3218259479641e-05,6.3218259479641e-05,2011
"20","Agua SaLada","Heres",0.658253217625581,85.5212426043848,0.000336143907108542,0.658253217625581,0.00769695572210771,0.000221267808439432,0.000221267808439432,2012
"21","Agua SaLada","Heres",1.41057051023148,85.5212426043848,0.000336143907108542,1.41057051023148,0.0164938027941979,0.0004741546825613,0.0004741546825613,2013
"22","Agua SaLada","Heres",1.5986144479391,85.5212426043848,0.000336143907108542,1.5986144479391,0.0186926008001799,0.000537364506490415,0.000537364506490415,2014
"23","Agua SaLada","Heres",0.47017192854133,85.5212426043848,0.000336143907108542,0.47017192854133,0.00549772096643067,0.000158045429072641,0.000158045429072641,2015
"24","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2016
"25","Agua SaLada","Heres",0.0940396721747617,85.5212426043848,0.000336143907108542,0.0940396721747617,0.00109960600794568,3.16108628280309e-05,3.16108628280309e-05,2017
"26","Agua SaLada","Heres",0,85.5212426043848,0.000336143907108542,0,0,0,0,2018
"27","Altagracia","Cedeño",0,1546.96069739035,0.00608037719201109,0,0,0,0,1993
"28","Altagracia","Cedeño",0,1546.96069739035,0.00608037719201109,0,0,0,0,1994
"29","Altagracia","Cedeño",0,1546.96069739035,0.00608037719201109,0,0,0,0,1995
"30","Altagracia","Cedeño",0,1546.96069739035,0.00608037719201109,0,0,0,0,1996
"31","Altagracia","Cedeño",0,1546.96069739035,0.00608037719201109,0,0,0,0,1997
"32","Altagracia","Cedeño",0,1546.96069739035,0.00608037719201109,0,0,0,0,1998
